"NAME_ST","EXITINGPOWPLANT","EXITINGPOWPLANTTYPE","LIGHT_ELEC","LIGHT_SOL","LIGHT_CONVERT_HH","LIGHT_KERO_HH","LIGHT_CAND_HH","LIGHT_BATT_HH","LIGHT_ELEC1_HH","LIGHT_SOL1_HH","LIGHT_CONVERT1_HH","LIGHT_KERO1_HH","LIGHT_CAND1_HH","LIGHT_BATT1_HH","ACTIVITY_LEVL","PAYING_TODAY","CAN_PAY_IN_FUTURE","MOB_COVERAGE","PAYING_TODAY1","CAN_PAY_IN_FUTURE1","MOB_COVERAGE1"
"Kachin",1,"Hydropower ",30.29,17.68,35,0.29,30.59,4.12,81590,47614,94265,792,82387,11086,80.56,37.45,23.13,6.15,615209,380004,100953
"Sagaing",1,"Hydropower ",24.17,11.85,41.28,0.87,15.74,24.67,265131,130005,452750,9560,172634,270556,81.52,36.52,24.9,4.47,1944754,1325942,238163
"Nay Pyi Taw",0,"None",42.58,5.85,39.21,0.67,31.15,7.39,111678,15339,102837,1745,81701,19391,81.34,41.31,18.99,10.2,479277,220373,118295
"Yangon",1,"Gas turbine ",69.31,1.58,24.65,5.66,7.19,11.81,1097146,25076,390234,89540,113805,186889,85.31,41.56,16.38,13.1,3059204,1205964,964579
"Kayah",1,"Hydropower ",48.59,17.58,28.92,5.48,19.87,3.57,27831,10071,16562,3140,11379,2043,76.84,35.58,25.92,5.6,101993,74302,16045
"Chin",0,"None",15.45,16.09,44.38,5.92,29.37,9.09,14074,14663,40435,5393,26763,8279,72.57,19.29,36.61,3.25,92373,175270,15567
"Mon",1,"Gas turbine ",35.7,2.69,39.78,3.54,31.91,4.33,150876,11383,168125,14958,134853,18314,80.07,33.26,18.76,7.03,683207,385475,144514
"Shan",1,"Hydropower ",33.4,26.62,25.07,3.97,17.33,3.77,390581,311356,293254,46431,202742,44081,79,36.38,26.23,6.91,2119161,1527748,402658
"Kayin",0,"None",26.88,5.86,57.52,10.36,45.24,1.92,82805,18046,177178,31905,139350,5923,76.36,28.07,22.24,5.19,422210,334624,78087
"Mandalay",1,"Hydropower ",39.36,8.11,36.82,0.45,14,22.38,520838,107304,487247,5949,185225,296073,83.47,40.19,19.42,8.77,2477704,1197238,540785
"Tanintharyi",0,"None",8.04,2.57,40.46,17.76,21.93,0.78,22754,7271,114546,50274,62077,2195,77.81,34.71,19.33,6,488897,272241,84452
"Bago",1,"Hydropower ",27.66,6.38,60.14,8.77,28.86,22.51,316091,72962,687383,100247,329833,257303,81.72,35.31,18.46,6.15,1718839,898351,299534
"Rakhine",0,"None",12.84,3.2,74.59,11.78,58.97,3.84,59039,14726,342928,54165,271119,17644,80.57,28.87,22.6,3.47,605920,474401,72837
"Magway",0,"None",22.67,10.13,49.71,0.38,22.54,26.79,208473,93192,457191,3491,207327,246373,82.51,36.67,24.07,5.6,1436405,942764,219450
"Ayeyarwady",0,"None",12.01,4.45,77.05,30.83,15.5,30.73,178810,66234,1147335,458988,230741,457606,80.76,36.33,18.25,4.62,2247052,1128532,285832
